network_id,provider,locked_role,climate_band,size_tertile,regulation_stratum,n_catalog_stations,exclusion_stage,exclusion_reason
huc8_09020203,usgs_nwis,sealed,unspecified,T1_small,regulated,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_10020004,usgs_nwis,development,cold_semiarid,T3_large,unregulated,6,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_10020005,usgs_nwis,development,cold_semiarid,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_10020007,usgs_nwis,never_sealed,cold_semiarid,excluded,regulated,9,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_10070002,usgs_nwis,never_sealed,cold_semiarid,excluded,unregulated,4,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_10160003,usgs_nwis,development,cold_semiarid,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_10170101,usgs_nwis,development,cold_semiarid,T1_small,unmatched_gages,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_11010001,usgs_nwis,validation,humid_subtropical,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_11010003,usgs_nwis,development,humid_subtropical,T1_small,unmatched_gages,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_11020001,usgs_nwis,validation,humid_subtropical,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_12030105,usgs_nwis,sealed,subtropical_semiarid,T1_small,regulated,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_12030203,usgs_nwis,sealed,subtropical_semiarid,T1_small,unmatched_gages,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_14010001,usgs_nwis,development,cold_arid_highland,T3_large,regulated,11,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14010003,usgs_nwis,development,cold_arid_highland,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14010005,usgs_nwis,development,cold_arid_highland,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14020004,usgs_nwis,development,cold_arid_highland,T1_small,unmatched_gages,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14040106,usgs_nwis,development,cold_arid_highland,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14050006,usgs_nwis,development,cold_arid_highland,T2_mid,unregulated,4,open_role_overlap,fewer_than_6_concurrent_qualified_years
huc8_14050007,usgs_nwis,development,cold_arid_highland,T1_small,regulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_14080104,usgs_nwis,development,cold_arid_highland,T2_mid,regulated,4,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_16050101,usgs_nwis,development,cold_semiarid,T1_small,unregulated,3,open_role_qc,fewer_than_3_qc_eligible_stations
huc8_17010201,usgs_nwis,sealed,marine_west_coast,T3_large,regulated,5,sealed_qc,fewer_than_8_common_300_day_years
huc8_17010204,usgs_nwis,sealed,marine_west_coast,T1_small,regulated,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_17060208,usgs_nwis,sealed,marine_west_coast,T3_large,unmatched_gages,5,sealed_qc,fewer_than_8_common_300_day_years
huc8_17060306,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,4,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17070101,usgs_nwis,sealed,marine_west_coast,T2_mid,unmatched_gages,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_17070105,usgs_nwis,sealed,marine_west_coast,T2_mid,unmatched_gages,4,sealed_qc,fewer_than_8_common_300_day_years
huc8_17090001,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,10,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17090002,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,5,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17090003,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,6,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17090004,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,18,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17090009,usgs_nwis,sealed,marine_west_coast,T2_mid,regulated,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_17090012,usgs_nwis,never_sealed,marine_west_coast,excluded,regulated,7,role_assignment,locked_role_never_sealed_not_in_inference_corpus
huc8_17100309,usgs_nwis,sealed,marine_west_coast,T2_mid,regulated,3,sealed_qc,fewer_than_3_qc_accepted_stations;fewer_than_8_common_300_day_years
huc8_18040010,usgs_nwis,sealed,mediterranean,T2_mid,regulated,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_18050004,usgs_nwis,sealed,mediterranean,T2_mid,regulated,3,sealed_qc,fewer_than_8_common_300_day_years
huc8_19020301,usgs_nwis,sealed,subarctic,T2_mid,unmatched_gages,3,sealed_qc,fewer_than_8_common_300_day_years
