n_days,n_stations,days_with_min_stations,overlap_start,overlap_end,overlap_years,station_coverage,complete_enough,network_id,display_name,ok,independent_unit,climate_or_ecoregion,n_requested_sites,catalog_overlap_is_not_concurrency
9023,4,8052,2000-10-03,2024-12-31,24.243668720054757,"{'10348200': 0.9554471905131331, '10350500': 0.9214230300343567, '10351650': 0.047766818131441874, '10351700': 0.9470242713066608}",True,truckee_rv_huc16,TRUCKEE RV (HUC2 16),True,True,cold_semiarid,5,True
9078,5,6931,2005-10-28,2024-12-31,19.175906913073238,"{'2110500': 0.702247191011236, '2110550': 0.4576999339061467, '2110704': 0.9809429389733422, '2110802': 0.9789601233751928, '21108125': 0.7561136814276272}",True,waccamaw_river_huc03,WACCAMAW RIVER (HUC2 03),True,True,humid_subtropical,5,True
6299,4,4713,2011-09-23,2024-11-30,13.188227241615332,"{'3007800': 0.8088585489760279, '3011020': 0.7490077790125417, '3012550': 0.9926972535323068, '3039040': 0.17637720273059215}",True,allegheny_river_huc05,Allegheny River (HUC2 05),True,True,humid_continental,4,True
4201,4,2514,2016-04-06,2024-10-31,8.569472963723477,"{'9359020': 0.5674839323970483, '9361500': 0.6765055939062128, '9363500': 0.6593668174244227, '9364500': 0.8090930730778386}",True,animas_river_huc14,ANIMAS RIVER (HUC2 14),True,True,cold_arid_highland,4,True
9132,4,8996,2000-01-01,2024-12-31,24.999315537303218,"{'12115000': 0.9452474813841437, '12116500': 0.9789750328515112, '12117600': 0.9414148050810337, '12119000': 0.9846692947875603}",True,cedar_river_huc17,CEDAR RIVER (HUC2 17),True,True,marine_west_coast,4,True
9131,4,8399,2000-01-01,2024-12-31,24.999315537303218,"{'2172050': 0.992662358996824, '2172053': 0.9767823896615924, '21720677': 0.9271711751177308, '217206935': 0.3328222538604753}",True,cooper_r_huc03,COOPER R (HUC2 03),True,True,humid_subtropical,4,True
8995,4,1703,2003-07-12,2024-12-31,21.472963723477072,"{'3306000': 0.6594774874930517, '3306500': 0.562757087270706, '3309000': 0.18910505836575875, '3321500': 0.44458032240133405}",False,green_river_huc05,GREEN RIVER (HUC2 05),False,True,humid_continental,4,True
4922,4,1116,2016-10-21,2024-12-31,8.19438740588638,"{'3432100': 0.3157253149126371, '343233905': 0.6854937017472572, '34324146': 0.582080455099553, '3433500': 0.2561966680211296}",False,harpeth_river_huc05,HARPETH RIVER (HUC2 05),False,True,humid_continental,4,True
951,2,0,,,0.0,,False,james_river_huc10,JAMES RIVER (HUC2 10),False,True,cold_semiarid,4,True
8899,4,7579,2003-12-13,2024-12-31,21.05133470225873,"{'11509370': 0.9592088998763906, '11509500': 0.7667153612765479, '420853121505500': 0.9533655466906394, '420853121505501': 0.8696482750870884}",True,klamath_river_huc18,KLAMATH RIVER (HUC2 18),True,True,mediterranean,4,True
9132,4,9115,2000-01-01,2024-12-31,24.999315537303218,"{'4121650': 0.9612352168199737, '4121660': 0.9878449408672799, '4121680': 0.9705431449846693, '4121970': 0.9948532632501095}",True,muskegon_river_huc04,MUSKEGON RIVER (HUC2 04),True,True,humid_continental,4,True
9109,4,5111,2005-05-12,2024-11-24,19.537303216974674,"{'5054000': 0.9580634537270831, '5054200': 0.45811834449445604, '5064500': 0.6044571303106817, '5082500': 0.6715336480403996}",True,red_river_of_the_north_huc09,RED RIVER OF THE NORTH (HUC2 09),True,True,unspecified,4,True
6913,4,711,2000-01-01,2001-12-17,1.9603011635865846,"{'2266298': 0.10284970345725444, '2266300': 0.9843772602343411, '2266320': 0.07015767394763489, '2266495': 0.9376536959351945}",False,reedy_creek_huc03,REEDY CREEK (HUC2 03),False,True,humid_subtropical,4,True
4958,4,1653,2000-10-27,2016-10-10,15.953456536618754,"{'2232400': 0.9479628882613957, '2234000': 0.5104881000403388, '2234500': 0.36950383219039934, '2236000': 0.42416296893908834}",False,st_johns_river_huc03,ST. JOHNS RIVER (HUC2 03),False,True,humid_subtropical,4,True
8881,4,4069,2000-01-01,2014-09-29,14.743326488706366,"{'7311900': 0.5163832901700259, '7312100': 0.4650377209773674, '7312500': 0.8634162819502308, '7312700': 0.5975678414592951}",True,wichita_rv_huc11,Wichita Rv (HUC2 11),True,True,humid_subtropical,4,True
7378,4,5802,2005-08-17,2024-12-31,19.37303216974675,"{'3076500': 0.5992138791000271, '3077500': 0.8220384928164814, '3081000': 0.9883437245866088, '3083500': 0.8236649498509081}",True,youghiogheny_river_huc05,Youghiogheny River (HUC2 05),True,True,humid_continental,4,True
3129,3,2411,2018-01-18,2024-12-31,6.951403148528406,"{'2301500': 0.804729945669543, '2301718': 0.9693192713326941, '2301721': 0.9920102269095558}",False,alafia_river_huc03,ALAFIA RIVER (HUC2 03),False,True,humid_subtropical,3,True
9130,3,8510,2000-01-01,2024-12-31,24.999315537303218,"{'14362000': 0.9895947426067908, '14366000': 0.9840087623220153, '14369500': 0.956407447973713}",True,applegate_river_huc17,APPLEGATE RIVER (HUC2 17),True,True,marine_west_coast,3,True
6658,2,0,,,0.0,,False,back_creek_huc02,BACK CREEK (HUC2 02),False,True,humid_continental,3,True
4810,3,1385,2000-01-01,2007-03-19,7.211498973305955,"{'2176603': 0.8873180873180874, '2176611': 0.5212058212058212, '2176640': 0.7413721413721414}",False,beaufort_river_huc03,BEAUFORT RIVER (HUC2 03),False,True,humid_subtropical,3,True
5524,3,1921,2011-06-29,2024-10-22,13.316906228610542,"{'7288000': 0.47465604634322955, '7288280': 0.7213975380159305, '7288500': 0.8700217233888486}",True,big_sunflower_river_huc08,BIG SUNFLOWER RIVER (HUC2 08),True,True,unspecified,3,True
9122,3,4784,2011-07-02,2024-12-29,13.494866529774127,"{'2156500': 0.9890374917781188, '2160991': 0.9888182416136813, '2162035': 0.5339837754878316}",True,broad_river_huc03,BROAD RIVER (HUC2 03),True,True,humid_subtropical,3,True
4267,3,1986,2016-06-29,2024-11-30,8.421629021218344,"{'2137727': 0.9997656433091164, '2138520': 0.5139442231075697, '214264790': 0.49238340754628546}",True,catawba_r_huc03,CATAWBA R (HUC2 03),True,True,humid_subtropical,3,True
8574,3,6806,2005-04-18,2024-12-31,19.704312114989733,"{'14209710': 0.8300676463727549, '14210000': 0.9650104968509448, '14211010': 0.9543970142290646}",True,clackamas_river_huc17,CLACKAMAS RIVER (HUC2 17),True,True,marine_west_coast,3,True
7317,3,3734,2013-09-29,2024-12-31,11.255304585900069,"{'3041500': 0.5172885062183955, '3043810': 0.9867432007653409, '3044000': 0.6456197895312287}",True,conemaugh_river_huc05,Conemaugh River (HUC2 05),True,True,humid_continental,3,True
4495,3,19,2024-10-29,2024-12-16,0.13141683778234087,"{'5537980': 0.5637374860956619, '5538010': 0.14416017797552835, '5539670': 0.9906562847608453}",False,des_plaines_river_huc07,DES PLAINES RIVER (HUC2 07),False,True,humid_continental,3,True
8948,2,1185,2000-01-01,2003-09-30,3.7453798767967146,"{'14337830': 0.13343763969602146, '14338000': 0.9989941886455074}",False,elk_creek_huc17,ELK CREEK (HUC2 17),False,True,marine_west_coast,3,True
4405,3,2169,2018-07-25,2024-12-31,6.436687200547571,"{'2388975': 0.5312145289443814, '2389150': 0.5078320090805902, '2394000': 0.9897843359818388}",False,etowah_river_huc03,ETOWAH RIVER (HUC2 03),False,True,humid_subtropical,3,True
9105,2,5199,2000-09-01,2024-10-31,24.164271047227928,"{'12363000': 0.9939593629873695, '12388700': 0.5770455793520044}",False,flathead_river_huc17,Flathead River (HUC2 17),False,True,marine_west_coast,3,True
4668,3,3391,2009-01-10,2024-12-31,15.97262149212868,"{'3297900': 0.7765638389031705, '3298000': 0.9515852613538989, '3298200': 0.8828191945158527}",True,floyds_fork_huc05,FLOYDS FORK (HUC2 05),True,True,humid_continental,3,True
9095,3,342,2024-01-06,2024-12-24,0.9664613278576317,"{'7105800': 0.03936228697086311, '7106000': 0.8986256184716878, '7106500': 0.9672347443650358}",False,fountain_creek_huc11,FOUNTAIN CREEK (HUC2 11),False,True,humid_subtropical,3,True
4987,3,471,2023-08-27,2024-12-31,1.3470225872689938,"{'4082400': 0.09805494285141368, '4084445': 0.819530780028073, '40851385': 0.9582915580509325}",False,fox_river_huc04,FOX RIVER (HUC2 04),False,True,humid_continental,3,True
9132,3,3512,2007-04-13,2024-11-04,17.56331279945243,"{'9217000': 0.40177398160315375, '9234500': 0.9149145860709592, '9261000': 0.9589356110381078}",True,green_river_huc14,GREEN RIVER (HUC2 14),True,True,cold_arid_highland,3,True
4333,3,433,2020-09-30,2024-10-31,4.084873374401095,"{'6026500': 0.4135702746365105, '6027600': 0.42903300253865684, '6036650': 0.6669743826448188}",False,jefferson_river_huc10,Jefferson River (HUC2 10),False,True,cold_semiarid,3,True
9132,3,8872,2000-01-01,2024-12-31,24.999315537303218,"{'14211400': 0.984778799824792, '14211500': 0.9906920718353044, '14211550': 0.9954007884362681}",True,johnson_creek_huc17,JOHNSON CREEK (HUC2 17),True,True,marine_west_coast,3,True
7948,3,4190,2011-09-30,2024-12-31,13.253935660506503,"{'12305000': 0.5668092601912431, '12309500': 0.6084549572219426, '12322000': 0.9397332662304982}",True,kootenai_river_huc17,KOOTENAI RIVER (HUC2 17),True,True,marine_west_coast,3,True
8549,3,7167,2003-09-30,2024-12-31,21.253935660506503,"{'11507500': 0.8979997660545093, '11507501': 0.9387062814364253, '421401121480900': 0.9851444613405077}",True,link_river_huc18,LINK RIVER (HUC2 18),True,True,mediterranean,3,True
9130,3,8523,2000-01-01,2024-12-31,24.999315537303218,"{'4124000': 0.960460021905805, '4124200': 0.9859802847754655, '4125550': 0.9865279299014239}",True,manistee_river_huc04,MANISTEE RIVER (HUC2 04),True,True,humid_continental,3,True
8529,3,2020,2007-09-30,2024-12-31,17.253935660506503,"{'3294570': 0.3451752843240708, '3359000': 0.7465119005745104, '3431083': 0.9099542736545903}",True,mill_creek_huc05,MILL CREEK (HUC2 05),True,True,humid_continental,3,True
5933,3,20,2024-11-07,2024-11-26,0.05201916495550993,"{'3072655': 0.6900387662228215, '3075070': 0.9715152536659363, '3085000': 0.0033709758975223325}",False,monongahela_river_huc05,Monongahela River (HUC2 05),False,True,humid_continental,3,True
5893,3,1769,2010-07-23,2024-09-30,14.190280629705681,"{'9041090': 0.8109621584931275, '9258050': 0.4174444255896827, '9258980': 0.7435940946886136}",False,muddy_creek_huc14,MUDDY CREEK (HUC2 14),False,True,cold_arid_highland,3,True
7930,3,4327,2012-12-06,2024-12-31,12.068446269678303,"{'2336340': 0.553720050441362, '2336360': 0.9829760403530895, '2336410': 0.9755359394703657}",True,nancy_creek_huc03,NANCY CREEK (HUC2 03),True,True,humid_subtropical,3,True
3798,3,809,2014-03-26,2023-11-13,9.634496919917865,"{'6454100': 0.2459189046866772, '6461500': 0.30068457082675093, '6465500': 0.9623486045286993}",False,niobrara_river_huc10,Niobrara River (HUC2 10),False,True,cold_semiarid,3,True
9129,3,3080,2001-03-22,2009-12-14,8.731006160164272,"{'14181500': 0.9981378026070763, '14183000': 0.38591302442764813, '444728122450000': 0.4754080403110965}",True,north_santiam_river_huc17,NORTH SANTIAM RIVER (HUC2 17),True,True,marine_west_coast,3,True
8962,3,0,,,0.0,,False,passaic_river_huc02,Passaic River (HUC2 02),False,True,humid_continental,3,True
3194,3,2647,2016-04-05,2024-12-27,8.728268309377139,"{'2297345': 0.9887288666249218, '2297350': 0.9956167814652473, '2297460': 0.8412648716343143}",True,peace_river_huc03,PEACE RIVER (HUC2 03),True,True,humid_subtropical,3,True
5593,3,2782,2012-10-01,2024-09-18,11.964407939767282,"{'8405200': 0.5521187198283569, '8406500': 0.6835329876631504, '8407500': 0.8412301090649026}",True,pecos_river_huc13,PECOS RIVER (HUC2 13),True,True,cold_arid_highland,3,True
5155,3,1336,2016-04-08,2024-11-20,8.618754277891854,"{'6768000': 0.9140640155189137, '6796500': 0.35732298739088264, '6796550': 0.8636275460717749}",False,platte_river_huc10,Platte River (HUC2 10),False,True,cold_semiarid,3,True
8882,3,2718,2012-09-30,2024-10-31,12.084873374401095,"{'12334510': 0.6597613150191398, '13092747': 0.5101328529610448, '453030122560101': 0.8433911281242963}",True,rock_creek_huc17,ROCK CREEK (HUC2 17),True,True,marine_west_coast,3,True
9132,3,8480,2000-01-01,2024-12-31,24.999315537303218,"{'2163001': 0.9463425317564608, '2168504': 0.9891590013140604, '2169000': 0.9917871222076216}",True,saluda_river_huc03,SALUDA RIVER (HUC2 03),True,True,humid_subtropical,3,True
7682,3,2070,2016-10-01,2022-09-15,5.95482546201232,"{'11273400': 0.5180942462900286, '11274550': 0.9631606352512366, '11303500': 0.30877375683415775}",False,san_joaquin_r_huc18,SAN JOAQUIN R (HUC2 18),False,True,mediterranean,3,True
3014,3,2711,2016-10-01,2024-12-31,8.24914442162902,"{'12186000': 0.9917053749170538, '12187500': 0.9774386197743862, '12189500': 0.9299933642999336}",True,sauk_river_huc17,SAUK RIVER (HUC2 17),True,True,marine_west_coast,3,True
6228,3,2528,2017-04-27,2024-12-31,7.6796714579055445,"{'3102850': 0.6191393705844573, '3103500': 0.9930956968529223, '3104490': 0.4359344894026975}",False,shenango_river_huc05,Shenango River (HUC2 05),False,True,humid_continental,3,True
8198,3,3766,2005-04-15,2024-10-29,19.540041067761805,"{'5055300': 0.7779946328372774, '5055400': 0.5131739448646011, '5059300': 0.7422542083434984}",True,sheyenne_r_huc09,SHEYENNE R (HUC2 09),True,True,unspecified,3,True
9131,3,1280,2006-05-05,2011-10-16,5.448323066392882,"{'5056000': 0.14730040521301063, '5057000': 0.9657211696418793, '5058000': 0.9768919066914905}",False,sheyenne_river_huc09,SHEYENNE RIVER (HUC2 09),False,True,unspecified,3,True
8494,3,2923,2016-10-01,2024-12-31,8.24914442162902,"{'12178000': 0.9802213327054391, '12181000': 0.995290793501295, '12200500': 0.34565575700494466}",True,skagit_river_huc17,SKAGIT RIVER (HUC2 17),True,True,marine_west_coast,3,True
7842,3,4449,2012-04-05,2024-12-31,12.739219712525667,"{'2203603': 0.8057893394542208, '2203655': 0.9880132619229788, '2203900': 0.5870951287936751}",True,south_river_huc03,SOUTH RIVER (HUC2 03),True,True,humid_subtropical,3,True
8353,3,1854,2019-10-03,2024-12-31,5.245722108145106,"{'14185000': 0.6996288758529869, '14187200': 0.9995211301328863, '14187500': 0.32084281096611994}",False,south_santiam_river_huc17,SOUTH SANTIAM RIVER (HUC2 17),False,True,marine_west_coast,3,True
9115,3,1795,2016-04-26,2024-11-18,8.563997262149213,"{'14203500': 0.3499725726823917, '14206694': 0.5902358749314317, '14207200': 0.9910038398244652}",False,tualatin_river_huc17,TUALATIN RIVER (HUC2 17),False,True,marine_west_coast,3,True
9083,3,3658,2014-07-26,2024-12-31,10.433949349760438,"{'2458148': 0.4489706044258505, '2458450': 0.997137509633381, '2458502': 0.4075745898932071}",True,village_creek_huc03,VILLAGE CREEK (HUC2 03),True,True,humid_subtropical,3,True
8953,3,1864,2017-02-05,2024-12-31,7.901437371663245,"{'10301500': 0.9851446442533229, '10302002': 0.6081760303808779, '10302025': 0.29029375628281023}",False,walker_rv_huc16,WALKER RV (HUC2 16),False,True,cold_semiarid,3,True
9099,3,4266,2010-12-03,2024-12-31,14.078028747433265,"{'3354000': 0.8543796021540828, '3373980': 0.9543905923727882, '3374100': 0.5179690075832509}",True,white_river_huc05,WHITE RIVER (HUC2 05),True,True,humid_continental,3,True
3255,2,906,2008-05-01,2013-09-30,5.415468856947296,"{'9304200': 0.837173579109063, '9304800': 0.4411674347158218}",False,white_river_huc14,WHITE RIVER (HUC2 14),False,True,cold_arid_highland,3,True
5310,3,2531,2016-06-08,2024-09-29,8.309377138945928,"{'12098700': 0.8753295668549906, '12100490': 0.9736346516007532, '12101102': 0.5725047080979284}",True,white_river_huc17,WHITE RIVER (HUC2 17),True,True,marine_west_coast,3,True
3177,3,1590,2020-05-14,2024-12-31,4.632443531827516,"{'2318500': 0.6181932640856154, '2319000': 0.8633931381806735, '2319394': 0.8954988983317596}",False,withlacoochee_river_huc03,WITHLACOOCHEE RIVER (HUC2 03),False,True,humid_subtropical,3,True
8472,3,1312,2003-02-14,2012-09-29,9.623545516769337,"{'2207120': 0.9936260623229461, '2207220': 0.16678470254957506, '2207335': 0.3073654390934844}",False,yellow_river_huc03,YELLOW RIVER (HUC2 03),False,True,humid_subtropical,3,True
4614,3,2721,2016-12-01,2024-12-17,8.043805612594113,"{'5516665': 0.9785435630689207, '5517000': 0.9911140008669267, '5517010': 0.6096662332032943}",True,yellow_river_huc07,YELLOW RIVER (HUC2 07),True,True,humid_continental,3,True
