grouping,min_stations,min_overlap_years,min_span_years,network_id,huc2,huc4,huc6,huc8,huc_key,n_stations,n_stations_available,site_ids,overlap_start,overlap_end,catalog_overlap_start,catalog_overlap_end,catalog_overlap_years,enough_overlap_years,max_pair_km,n_stations_with_coords,n_stations_missing_coords,coord_policy,coords_incomplete,distance_mode,river_names,river_name,states,flow_connected,spatially_proximate_not_flow_connected,temperature_record_unverified,sealed_outcomes_opened,never_sealed,never_sealed_v1_ids,historical_seen,nldi_origin_site_id,n_connected_stations,connected_site_ids,nldi_um_status,nldi_dm_status,climate_band,size_tertile,stratum,regulation_stratum,seed,assignment_sha256,split_role,split_table_sha256
huc8,3,8.0,8.0,huc8_14010001,14,1401,140100,14010001,14010001,11,12,"09010500,09014050,09027100,09032000,09033100,09033300,09034250,09041090,09058000,09060799,09070500",2016-10-21,2026-08-24,2016-10-21,2026-08-24,9.839835728952773,True,128.74396375049812,11,0,complete,False,uncapped,COLORADO RIVER|FRASER RIVER|FRASER RIVER BLW CROOKED CR|GRAND LAKE OUTLET BLW CHIPMUNK LN|MUDDY CREEK|RANCH CREEK|RANCH CREEK BLW MEADOW CR,mixed,Colorado,not_queried,False,True,False,False,,False,,,,,,cold_arid_highland,large,cold_arid_highland|large,unknown_until_gages,20260826,805c0a60ad7aa5c3271113bebb08918349fc4638bce46be93852fa77e22c2146,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_05140101,05,0514,051401,05140101,05140101,10,10,"03292470,03292474,03292475,03292480,03292500,03292550,03293000,03293500,03293530,03294570",2008-09-30,2025-11-19,2008-09-30,2025-11-19,17.136208076659823,True,41.828422890061375,10,0,complete,False,uncapped,GOOSE CREEK|HARRODS CREEK|LITTLE GOOSE CREEK|M FK BEARGRASS|M FK BEARGRASS CR|MILL CREEK|MUDDY FK|S FK BEARGRASS CREEK|SOUTH FORK BEARGRASS CREEK,mixed,Kentucky,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,3943a863cdbb4b78f067b92844c6478026ab91532f11daf947dcd77c01e512e7,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17090001,17,1709,170900,17090001,17090001,10,10,"14144800,14144900,14145500,14147500,14148000,14150000,14150290,14150800,14151000,14152000",2010-08-26,2025-11-30,2010-08-26,2025-11-30,15.263518138261464,True,56.899918829367614,10,0,complete,False,uncapped,"FALL CREEK|FALL CREEK BLW WINBERRY CREEK,|HILLS CR|MF WILLAMETTE RIVER ABV SALT CRK,|MF WILLAMETTE RIVER BLW N FORK,|MIDDLE FORK WILLAMETTE RIVER|N FK OF M FK WILLAMETTE R|WINBERRY CREEK",mixed,Oregon,not_queried,False,True,False,True,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,a3bed3cd37b417abbfedf103d230d103007f5a106a8cd576072f3d58a18e50ba,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_01090001,01,0109,010900,01090001,01090001,10,11,"01104370,01104405,01104410,01104415,01104420,01104430,01104453,01104455,01104460,01104475",2012-03-26,2026-08-23,2012-03-26,2026-08-23,14.40930869267625,True,9.117268563937131,10,0,complete,False,uncapped,"CAMBRIDGE RES., UNNAMED TRIB 1,|CAMBRIDGE RES., UNNAMED TRIB 2,|CAMBRIDGE RES., UNNAMED TRIB 3,|HOBBS BK|HOBBS BROOK|STONY BROOK|STONY BROOK RES., UNNAMED TRIB 1,|STONY BROOK UNNAMED TRIB 2|STONY BROOK, UNNAMED TRIBUTARY 1,",mixed,Massachusetts,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,1c3d71230cecf42e7f168ab639f4b83c3f069eb6bcc188af6f3316cd26f603b0,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17090010,17,1709,170900,17090010,17090010,10,13,"14202980,14205400,14206694,14206950,14207200,452230122512201,452559122472401,453004122510301,453030122560101,453040123065201",2004-05-20,2017-12-10,2004-05-20,2017-12-10,13.557837097878165,True,47.00887033043926,10,0,complete,False,uncapped,"BEAVERTON CREEK|CHICKEN CREEK|EAST FORK DAIRY CREEK|FANNO CREEK|GALES CREEK|ROCK CREEK|SCOGGINS CK BLW HENRY HAGG LAKE,|SUMMER CREEK|TUALATIN RIVER",mixed,Oregon,not_queried,False,True,False,False,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,8ec8b23f985c002b061a7705cd7533381ba5554913f8c29078a464d3dd50bf3b,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17100307,17,1710,171003,17100307,17100307,10,11,"14330000,14335075,14337500,14337600,14337800,14337830,14337870,14338000,14338100,14339000",1988-03-16,1998-09-30,1988-03-16,1998-09-30,10.54072553045859,True,35.107325509603236,10,0,complete,False,uncapped,BIG BUTTE CREEK|ELK CREEK|ROGUE RIVER|WEST BRANCH ELK CREEK,mixed,Oregon,not_queried,False,True,False,False,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,2bf88e46397086de6485a154993724d85b0b88cad00a46d30caec826484e1b4a,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03050201,03,0305,030502,03050201,03050201,10,10,"02172002,02172020,02172040,02172050,021720508,02172053,021720677,0217206935,0217206962,021720698",2016-07-01,2026-08-25,2016-07-01,2026-08-25,10.149212867898699,True,40.243697798326885,10,0,complete,False,uncapped,BACK RIVER|COOPER R|COOPER RIVER|LAKE MOULTRIE TAILRACE CANAL|W BRANCH COOPER R|WANDO RIVER,mixed,South Carolina,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,76fa50c094c055bae52a7f13429aa828eae532187d16bf4b821f0848de30bfb7,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03090202,03,0309,030902,03090202,03090202,10,14,"02277100,02286328,022907085,02290709,022908295,251209080350100,251241080385300,255151080371501,265906080093500,265929080091800",2016-11-02,2025-06-17,2016-11-02,2025-06-17,8.621492128678987,True,225.14588456298438,10,0,complete,False,uncapped,10B BLACK CREEK CANAL|BLACK CREEK CANAL WEST OF US1|BOTTLE CREEK|C-8 CANAL|LOX RIVER|LOXAHATCHEE RIVER|MUD CREEK|ST LUCIE RIVER|UPSTREAM TAYLOR RIVER|WETLAND,mixed,Florida,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,064000d3acfcef0c297bf8cb0d807e3cddd3f96cd2b7785d2dd286676115c2d4,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_10020007,10,1002,100200,10020007,10020007,9,10,"06036805,06036905,06036940,06037100,06037500,06038500,06038800,06040000,06041000",2011-03-16,2026-08-24,2011-03-16,2026-08-24,15.441478439425051,True,131.23187203197423,9,0,complete,False,uncapped,Firehole River|Gibbon River|Madison River|Tantalus Creek,mixed,"Montana,Wyoming",not_queried,False,True,False,True,madison_river_huc10,False,,,,,,cold_semiarid,large,cold_semiarid|large,unknown_until_gages,20260826,2fa767bf91511b021e2f9e8fd504be2948f278aa976f9a81663022082d869f41,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03040206,03,0304,030402,03040206,03040206,9,9,"02110400,02110500,02110550,02110701,02110704,02110725,02110802,021108125,02110815",2013-06-22,2026-08-24,2013-06-22,2026-08-24,13.17180013689254,True,70.47600837871958,9,0,complete,False,uncapped,AIW|BUCK CREEK|CRABTREE SWAMP|WACCAMAW R|WACCAMAW RIVER,mixed,South Carolina,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,a9b29f1e53f28b75677106e2e05e84ba90482242ac194a3713b65050c8f724bf,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_05030103,05,0503,050301,05030103,05030103,9,9,"03086500,03090500,03091500,03092090,03092460,03094000,03095500,03098600,03099500",2011-09-30,2024-05-26,2011-09-30,2024-05-26,12.654346338124572,True,57.08612675039523,9,0,complete,False,uncapped,Mahoning River|Mosquito Creek|West Branch Mahoning River,mixed,Ohio,not_queried,False,True,False,True,mahoning_river_huc50,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,a17c5f8be344f91abdca71927e71999105a353ae90b666398b63857dc466b941,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_07120001,07,0712,071200,07120001,07120001,9,9,"05515500,05516665,05517000,05517010,05517500,05518000,05527000,05527500,412320088154101",2016-12-01,2026-08-24,2016-12-01,2026-08-24,9.727583846680355,True,150.4369340321143,9,0,complete,False,uncapped,KANKAKEE R|KANKAKEE RIVER|YELLOW RIVER,mixed,"Illinois,Indiana",not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,948a6e1081137cb9bb03a842e5cf9ef4b1ef223fa333579e30b748c750da1db6,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17090005,17,1709,170900,17090005,17090005,9,10,"14178000,14179000,14180300,14181500,14182500,14183000,14184100,14189050,444728122450000",2001-05-25,2009-12-14,2001-05-25,2009-12-14,8.555783709787816,True,75.03140512325368,9,0,complete,False,uncapped,"BLOWOUT CREEK|BREITENBUSH R ABV FRENCH CR|LITTLE NORTH SANTIAM RIVER|NO SANTIAM R BLW BOULDER CRK,|NORTH SANTIAM R|NORTH SANTIAM RIVER|SANTIAM RIVER",mixed,Oregon,not_queried,False,True,False,False,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,9f3d94fa8ef26a70ae757dec0d7949f630aff736db33e666175465415271ef1d,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_18010204,18,1801,180102,18010204,18010204,9,10,"11507500,11507501,11509370,420448121503100,420451121510000,420741121554001,420853121505500,420853121505501,421015121471800",2018-05-12,2026-08-19,2018-05-12,2026-08-19,8.271047227926077,True,16.515576613706973,9,0,complete,False,uncapped,"KLAMATH RIVER|KLAMATH RIVER ABV KENO DAM,|KLAMATH STRAITS DRAIN|LINK RIVER|LOST RIVER DIVERSION CHANNEL",mixed,Oregon,not_queried,False,True,False,False,,False,,,,,,mediterranean,large,mediterranean|large,unknown_until_gages,20260826,51f03a8694ec41cf1f3394e03af083d17fbbd13301191c6a242cd1309ee80750,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_04070007,04,0407,040700,04070007,04070007,8,8,"04136000,04136500,04136900,04137005,04137020,04137025,04137030,04137500",1996-10-01,2026-08-17,1996-10-01,2026-08-17,29.87542778918549,True,73.10240136067748,8,0,complete,False,uncapped,AU SABLE RIVER,AU SABLE RIVER,Michigan,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,c79d1d1006e366109d3e275335688aec5cf087a27049629ce8c29e2795074fec,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17110004,17,1711,171100,17110004,17110004,8,8,"12205000,12209490,12210000,12210700,12210900,12212050,12212430,12213100",2008-09-30,2026-08-05,2008-09-30,2026-08-05,17.845311430527037,True,54.90683375428679,8,0,complete,False,uncapped,ANDERSON CREEK|FISHTRAP CREEK|NF NOOKSACK RIVER|NOOKSACK RIVER|SF NOOKSACK RIVER|SKOOKUM CREEK|UNNAMED TRIB TO BERTRAND CR,mixed,Washington,not_queried,False,True,False,False,,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,7e7b4c3f4fcbeeb26a09e535a7effe5a84cc0ae22b3c09635f839a697b95836b,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_02040205,02,0204,020402,02040205,02040205,8,9,"01478137,01480065,01480400,01480500,01480617,01480870,01481000,01481500",2006-10-01,2024-02-28,2006-10-01,2024-02-28,17.409993155373034,True,40.576488105514414,8,0,complete,False,uncapped,BRANDYWINE CREEK|Birch Run|Brandywine Creek|CHRISTINA RIVER|East Branch Brandywine Creek|Trout Run|West Branch Brandywine Creek,mixed,"Delaware,Pennsylvania",not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,f081602a02b7b282f0c8b0f4ed3642035a1e436cad7e1d951a3fc327d32cf642,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_02040104,02,0204,020401,02040104,02040104,8,9,"01432110,01432160,01432805,01433500,01434000,01435000,01436690,01440000",2013-09-30,2024-08-17,2013-09-30,2024-08-17,10.880219028062971,True,92.24385722966538,8,0,complete,False,uncapped,DELAWARE RIVER|Flat Brook|Lackawaxen River|MONGAUP RIVER|NEVERSINK RIVER,mixed,"New Jersey,New York,Pennsylvania",not_queried,False,True,False,True,delaware_river_huc20,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,95226a30c7f07367fe9dd76d734ac69ac8ee9c53d828877379c0e937128ea556,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_03090204,03,0309,030902,03090204,03090204,8,9,"02290928,02290930,255123081321300,255327081275900,255432081303900,255534081324000,255654081350200,255726081303700",2007-06-14,2017-09-09,2007-06-14,2017-09-09,10.239561943874058,True,27.91154303781325,8,0,complete,False,uncapped,BARRON RIVER|BLACKWATER RIVER|EAST RIVER|FAKA UNION BOUNDARY|FAKA UNION CANAL BOAT BASIN|FAKA-UNION RIVER|PUMPKIN RIVER|TURNER RIVER,mixed,Florida,not_queried,False,True,False,False,,False,,,,,,humid_subtropical,large,humid_subtropical|large,unknown_until_gages,20260826,4671389e4a6b44190b90a3021017ba48a630cd938a25b9518fbc797074d24244,development,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_04040003,04,0404,040400,04040003,04040003,8,9,"040869416,04087000,04087070,040871473,040871475,040871476,040871488,04087159",2007-07-03,2016-10-23,2007-07-03,2016-10-23,9.308692676249144,True,23.556292235866387,8,0,complete,False,uncapped,HOLMES AVE CRK TRIB|KINNICKINNIC RIVER|LINCOLN CREEK|LITTLE MENOMONEE RIVER|MILWAUKEE RIVER|WILSON PARK CK|WILSON PARK CREEK,mixed,Wisconsin,not_queried,False,True,False,False,,False,,,,,,humid_continental,large,humid_continental|large,unknown_until_gages,20260826,bb829b292870574347fb2c1cfe5c8c2c652c541bfa97630c22ffc47d474b22d1,validation,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_17090012,17,1709,170900,17090012,17090012,7,7,"14211400,14211499,14211500,14211542,14211546,14211550,14211720",2001-11-02,2012-12-18,2001-11-02,2012-12-18,11.126625598904859,True,19.58495299792844,7,0,complete,False,uncapped,CRYSTAL SPRINGS CREEK|JOHNSON CREEK|KELLEY CREEK|WILLAMETTE RIVER,mixed,Oregon,not_queried,False,True,False,True,willamette_river_huc17,False,,,,,,marine_west_coast,large,marine_west_coast|large,unknown_until_gages,20260826,8a9f43dcd483d775d254aa8b0530f14bcd1e68f07451148c3260bcf0f74d9b44,never_sealed_held_out,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
huc8,3,8.0,8.0,huc8_08090302,08,0809,080903,08090302,08090302,7,7,"07381150,07381324,07381328,07381331,07381350,07381355,073814675",2006-10-19,2017-11-01,2006-10-19,2017-11-01,11.0362765229295,True,54.44760688602523,7,0,complete,False,uncapped,Bayou Boeuf|Bayou Grand Caillou|Bayou Lafourche|Company Canal|GIWW|Houma Navigation Canal,mixed,Louisiana,not_queried,False,True,False,False,,False,,,,,,unspecified,large,unspecified|large,unknown_until_gages,20260826,afb37f1b829dd4e7867477d5efea3b6a96655c087c52105bd87f4ee3d064402c,sealed,b11cd3f25605d629709661633191781fcde306677ed9fbf2590845d4b60211a3
