old                                      new
6e1873528770a895948a4ad4da5cc8c4e41bcce6 d2f237d4aa17aecd246d913358cb5e8e938615da
6ed1360bdf261982cba249dcc29a399ba6a1421a 3fbe4d4cd906c88e16c40cb3c7293e2440182ff6
6ff2414f77b60ff1be52ad2a95d07003859973ee 59405fd7d371eb99c7e04ac79ecf0ebda27db1ef
711bbd63094991cf318381e570c49fcd58851a14 70810d43b7ae82915c4fbeb576ddac350cab2357
75470bf13dc2d3700ae5efb0b3bd639fdc11e455 6499e1527d4b5b0025e53121fcecb5b45abda7d0
7ab7e2933a2888e6e730a3cb744c544584e8a7af 71362f75abc34b319f08ce7512a37172f1091eef
7de341f9a246bda00ed5fee0fa1cb8899ba49308 0000000000000000000000000000000000000000
7ea322cf2a41957eb86b545fe66f13f33f6e0cfa d258377ca3978f94d9ba9780cbf952355097b56e
7ea38ae00ad341bc8cb2c59fe6d03aedaee6e3d3 cf527d8d7de594fb6667919587001f3370e7828f
821fcf71d94e5829bf8b649870332ed632b05a5f c2b30972cb5929d78fad53d4e66f39faac6ad88e
8244e28639e159c7d295bc0dfb422cb10f2d55d0 e14e367763d3aa3b78cf190e1b8c8930b9d6bc6a
861ecf1925d01d1b10237734ae0303a3e7f98bfe c8a7a69b00e36c99836c30b2a7766113c7e53774
86c282a0f60cc9f2f03d82df110285d09a239fc7 7e937ab9ad04348b0f00b1465380bec4784fc829
8ba3cb877040f1598d98e5ff5dffae300aaede04 920803dd9c4bf4b1a7daa216c232c432a2c29084
8e2828403874455932bdf5328d0f6180068d5cd1 b9bd144c13fe636f795c0ac7b4746fc8a5010a80
90529e89d3758b5b5a1f94cd9a0f2f35620b9008 1d9a7a1a1c7ab3f480bcf107599401592a8b05df
93b586b43887326cc8487fe61f02dcc3fa84b95e b33ec1db54997baa27e56a09e10e090d1d11b238
9683be5b3f1b2ba74e6955dc8256458a87ef344b 4bf4de769b2aa58c63e6a40d5fb9d4ad7ec15a4a
97b1f8344cf8625930180057018f138b30da8217 3fa0724d142b4c68b0bfaa3fc2a2dc439f4abbc9
98ee106acf37f2bfc70f6527c4398e8904ade9e6 9ede584b45b54f0e029c115cbd99417922094888
991fc51258070587f6517da81a78e934d9176192 b9c77c51eaf545b011be2ec639fc59a3ac82f89c
99837398e16786af410f138ab570be2111bfe010 85201fd1bb0a9112cda43ecef145ac83fa367900
9b2d388259c7a6e36290084956dca158d3a232db 3f4fba45f847f256f98043ee05b2c19ea1c70484
9e7c98882cdfd60c0e39e3af8dbf0d0368305e6e 66da65fdec29fa6acea515ffab7e061640f3a64c
9f552aa61b9edf9cfa79678f1460c878ea1f5f44 774966bc5caf7c50cd33fc54bbff415dfc495453
a5aec109e199a26dd1a4b12e7f838bfbb56c62a3 1409dffa3d3f540217fe6a5d614176d28e18770c
a5c64b77b9663c62cca0395cf8de15098c124b38 0a92d25000567453b6e7d62752771d9fe2022281
a5ceb6b8705ffde541e5fc0c0968adf8ad1ce49b 2e373cc45ccf4e823c36b2909158e3600613794b
a68b9b12af890f691005287844bf80ce93e87532 d53b2091f071a98ba332d916f0f563b0003e752d
a6911f691e74d739a8eaf8fdaed995b7cced795f e9d7cc402a210dcea5b501649f6038213c7f2663
a75e77b9e8f5f431f9b8cf28a1ffee3304eeecce e51919d8e1e15139cb6aec6ab8c4c82ae5ae0919
aa1261c144b5dc5bd87a5747e097ada008d62784 a7c77dbabae4066e658972d0a549e468d36bdfbf
aa8b3bbc33d4cee46ca69a74f5f8733bfb9ac1a5 a4892a172a6a2394bd938d144bcc97a0946f0a47
ab06415338cb36234146162b6923b81d6e115423 69fde7fcdf4b354572a107170ed419ddcc784a56
aebb7fb0e9ddf35f0ce419a689e9a9074ea90ec3 d5a254a49a0b6c82446a748bdda4ae317dcea2a8
aff0ef56ee588e46b17b6618351234df94c62da0 56debab0a054dd56b6da897b56f2642d4313afb8
b47ebab3301da5e6715866cc96c32cf23a0e16b2 e68bb59bfe552b389c2301890bab56cf963323f6
b4e2f45a2d9b598c5f3f2e71f69bae54eb4d1a1a 5b4515dcf70d9f356b73b199e1ca1a0480a5e52a
b7db9fe3b96dc08058b6e8705f1f03352e044a30 40f6559b0e0fd95bdefddd6e02f5abbbd0270029
b7fc546c4e56d6285c5d158eeee1ddd164844b95 afb1e09a843c87c68992451cc32d85779893b601
ba169f1266693c0be868f782b680d9fb51803a53 8d411ba64b94fcab71dee648a1917cd19fc83f72
baf3b5e948b608bcac66c8027fd429ca0c2adaed 428055fc275b9491affdabd3680040c4b9ff8467
bdfa64d000e0966e6a71746db72b3bc60c3ede1f 5df99663c05cf15de54ba7b5f4574ca3a7416b3c
bf78c8f026548d84f47f74e63d61ec3dbf6ade07 598f686246a05ee218a89bf8662cf1fe6105286f
c739070565c50573d21a1e368806dc476da3ab88 f7b981e8c00ee8fa500dee9e28e21ae250a70e58
ca18924749da0a68bb0478d6659f0c553a7a9bcd 57c9883e7952060d78d21a6bc16fe454fdf156a4
ca933ba2162ea9da858eef4bc74cd7a20061b131 2ec540995fa87395b2571ff8d342be0ad5edc18f
cd6d9ce7978d481083398f00fceafc31c335ecee 40204e89ef9791707db61c4d988b4abd6a25bd7d
ce5b3dd8f52194a74ad30070727baaf18494e6b0 d4ab6a56bd734207c102641677b4e9f849ee5895
ce868142a5cce6b76b35f16d2cb22a7ba5be2360 3427af3296facf2434e3c21e8f2036914e6ea9d9
d78f6dbe1a36ad35b199df5f771ee5d52371a532 df3743ab39614d52b943cd8c1a70b478b49e9b2b
d7dc02837498c284a144552a8656ef186c142446 8baede1d4296bcdfbc0f7aab3fd13f7d4ea82c35
d8c9c286fefa3426efc609893acfda2ca758bf61 e009b79e87c5c7656d6305c60aaaedf20ded31f2
d95af96302df9aacf0d12b90cd1d4171f2ce7eb7 544db651e83fe02dc61705575bd09e62e7cda3fa
d9b3834b5d85cbf1107f91fdc32d95f49113d7ee 1aced1658361b719e9f232ef0b608f26ac442d85
dc144d4e2da21b9e033cdd4d31d233d6a6ef867c 34cd6a7026d423f65b23db9891699efd8b56dbcc
dce92744988ee4385bc94a7d81e9258695c3f8da 1538b951a0755999db6fc8854c56e80422ba954d
df14ebcf8cef988c842322d9cfd7d7d7172d657d 1c651d1e233fefacb830486a7d2671b81f6d89f4
e3be38e9ce06d9caa0425921e485a5d2c5f99b7c 1340f5039496365ff2a910cf23c82a6696f454e6
e5ad5a9ebe4e0ada0222e4599a2aa2306b6e3a89 d9b1f950b5379b18357b44619d805010404be0c6
ebac9178fd3dde300c9396e341581cd562b9cea3 1714c7f9fd87590ca36599a3741daa79b423ba42
f6139a70392fa35a58c7b70378690c3854b62526 053b674405bab9dc9af710c1a17391f7de6fa110
f97e1d5f974574a7b8f980641eeebf53ca090d17 d4a661449ea134a9c60cdb2e31e29a463d9dccc4
fa62c0fd49adc28b89594b4027609485637666cb 132eb67679c143d38189328cffda127be5d54cef
fabed4806fa8e034bde141d907869eb2e4288e9d 143c18d34504debe7c84833e514672b89c3fe123
fd69cb01951bbf46c876b1f2ecef73f5c64e9aa4 987f71b906da64c297c66e271c4289528c16e22a
fdb31096bff3e3bf21589874de789027e22935e9 bceda7a6004f944861d486faf4f5bd5ce570f421
ff3d45910584d0598412bb0988eba3288df59137 072243585043e4e4155790bffc921fb2bd2e03a5
ffb74594d63c7d66de9272fafe4b051163a2ced2 ef325ab548d0f623a1ed33103828f1e76b2c5d08
