left_anchor_id,right_anchor_id,left_station_id,right_station_id,left_center_date,right_center_date,left_season,right_season,left_year,right_year,same_station,same_season,center_date_distance_days,left_window_days,right_window_days,overlap_days,union_days,jaccard,has_temporal_overlap,flag_b1_december_2016_pair,flag_s2_mam_pair,flag_same_center_date_cross_station,flag_nearby_center_date_cross_station,flag_jaccard_ge_0_5,left_anchor_label,right_anchor_label,pair_flags
VALANCHOR-publishedv1-validation-P3-R0101,VALANCHOR-publishedv1-validation-P3-R0105,P3,P3,2017-01-19,2016-07-28,DJF,JJA,2017,2016,True,False,175,180,180,5,355,0.014084507042253521,True,False,False,False,False,False,P3-R0101,P3-R0105,
VALANCHOR-publishedv1-validation-P3-R0102,VALANCHOR-publishedv1-validation-P3-R0103,P3,P3,2017-04-09,2017-07-17,MAM,JJA,2017,2017,True,False,99,180,180,81,279,0.2903225806451613,True,False,False,False,False,False,P3-R0102,P3-R0103,
VALANCHOR-publishedv1-validation-P3-R0102,VALANCHOR-publishedv1-validation-P3-R0104,P3,P3,2017-04-09,2016-11-30,MAM,SON,2017,2016,True,False,130,180,180,50,310,0.16129032258064516,True,False,False,False,False,False,P3-R0102,P3-R0104,
VALANCHOR-publishedv1-validation-P3-R0102,VALANCHOR-publishedv1-validation-P3-R0105,P3,P3,2017-04-09,2016-07-28,MAM,JJA,2017,2016,True,False,255,180,180,0,360,0.0,False,False,False,False,False,False,P3-R0102,P3-R0105,
VALANCHOR-publishedv1-validation-P3-R0103,VALANCHOR-publishedv1-validation-P3-R0104,P3,P3,2017-07-17,2016-11-30,JJA,SON,2017,2016,True,False,229,180,180,0,360,0.0,False,False,False,False,False,False,P3-R0103,P3-R0104,
VALANCHOR-publishedv1-validation-P3-R0103,VALANCHOR-publishedv1-validation-P3-R0105,P3,P3,2017-07-17,2016-07-28,JJA,JJA,2017,2016,True,True,354,180,180,0,360,0.0,False,False,False,False,False,False,P3-R0103,P3-R0105,
VALANCHOR-publishedv1-validation-P3-R0104,VALANCHOR-publishedv1-validation-P3-R0105,P3,P3,2016-11-30,2016-07-28,SON,JJA,2016,2016,True,False,125,180,180,55,305,0.18032786885245902,True,False,False,False,False,False,P3-R0104,P3-R0105,
VALANCHOR-publishedv1-validation-S2-R0101,VALANCHOR-publishedv1-validation-S2-R0102,S2,S2,2017-01-28,2017-03-08,DJF,MAM,2017,2017,True,False,39,180,180,141,219,0.6438356164383562,True,False,False,False,False,True,S2-R0101,S2-R0102,jaccard_ge_0_5
VALANCHOR-publishedv1-validation-S2-R0101,VALANCHOR-publishedv1-validation-S2-R0103,S2,S2,2017-01-28,2017-06-05,DJF,JJA,2017,2017,True,False,128,180,180,52,308,0.16883116883116883,True,False,False,False,False,False,S2-R0101,S2-R0103,
VALANCHOR-publishedv1-validation-S2-R0101,VALANCHOR-publishedv1-validation-S2-R0104,S2,S2,2017-01-28,2016-09-10,DJF,SON,2017,2016,True,False,140,180,180,40,320,0.125,True,False,False,False,False,False,S2-R0101,S2-R0104,
VALANCHOR-publishedv1-validation-S2-R0101,VALANCHOR-publishedv1-validation-S2-R0105,S2,S2,2017-01-28,2017-03-27,DJF,MAM,2017,2017,True,False,58,180,180,122,238,0.5126050420168067,True,False,False,False,False,True,S2-R0101,S2-R0105,jaccard_ge_0_5
VALANCHOR-publishedv1-validation-S2-R0102,VALANCHOR-publishedv1-validation-S2-R0103,S2,S2,2017-03-08,2017-06-05,MAM,JJA,2017,2017,True,False,89,180,180,91,269,0.3382899628252788,True,False,False,False,False,False,S2-R0102,S2-R0103,
VALANCHOR-publishedv1-validation-S2-R0102,VALANCHOR-publishedv1-validation-S2-R0104,S2,S2,2017-03-08,2016-09-10,MAM,SON,2017,2016,True,False,179,180,180,1,359,0.002785515320334262,True,False,False,False,False,False,S2-R0102,S2-R0104,
VALANCHOR-publishedv1-validation-S2-R0102,VALANCHOR-publishedv1-validation-S2-R0105,S2,S2,2017-03-08,2017-03-27,MAM,MAM,2017,2017,True,True,19,180,180,161,199,0.8090452261306532,True,False,True,False,False,True,S2-R0102,S2-R0105,s2_mam_pair|jaccard_ge_0_5
VALANCHOR-publishedv1-validation-S2-R0103,VALANCHOR-publishedv1-validation-S2-R0104,S2,S2,2017-06-05,2016-09-10,JJA,SON,2017,2016,True,False,268,180,180,0,360,0.0,False,False,False,False,False,False,S2-R0103,S2-R0104,
VALANCHOR-publishedv1-validation-S2-R0103,VALANCHOR-publishedv1-validation-S2-R0105,S2,S2,2017-06-05,2017-03-27,JJA,MAM,2017,2017,True,False,70,180,180,110,250,0.44,True,False,False,False,False,False,S2-R0103,S2-R0105,
VALANCHOR-publishedv1-validation-S2-R0104,VALANCHOR-publishedv1-validation-S2-R0105,S2,S2,2016-09-10,2017-03-27,SON,MAM,2016,2017,True,False,198,180,180,0,360,0.0,False,False,False,False,False,False,S2-R0104,S2-R0105,
