network_id,role,climate_band,regulation_stratum,size_tertile,site_id,start,end
huc8_04090004,development,humid_continental,unregulated,T3_large,04167625,2001-10-24,2026-08-25
huc8_04090004,development,humid_continental,unregulated,T3_large,04168400,1999-04-15,2026-08-25
huc8_04140101,development,humid_continental,unregulated,T1_small,04232034,1995-09-30,2010-09-29
huc8_04140101,development,humid_continental,unregulated,T1_small,04232050,1994-11-10,2026-08-24
huc8_04140101,development,humid_continental,unregulated,T1_small,0423205010,1994-11-10,2026-08-24
huc8_05020001,development,humid_continental,regulated,T1_small,03054500,2011-10-01,2020-10-28
huc8_05020001,development,humid_continental,regulated,T1_small,03056000,2010-09-30,2020-11-08
huc8_05020001,development,humid_continental,regulated,T1_small,03057000,2008-09-30,2020-10-27
huc8_05020005,development,humid_continental,regulated,T3_large,03072000,2013-09-30,2026-08-24
huc8_05020005,development,humid_continental,regulated,T3_large,03072655,2013-09-27,2026-08-24
huc8_05020005,development,humid_continental,regulated,T3_large,03073000,2010-11-05,2026-08-24
huc8_05020005,development,humid_continental,regulated,T3_large,03075070,2008-10-02,2025-03-23
huc8_05020005,development,humid_continental,regulated,T3_large,03085000,1996-11-08,2024-11-26
huc8_05020006,development,humid_continental,regulated,T3_large,03076500,2012-10-01,2026-08-24
huc8_05020006,development,humid_continental,regulated,T3_large,03077100,2010-06-01,2026-08-24
huc8_05020006,development,humid_continental,regulated,T3_large,03077500,2005-08-17,2026-08-24
huc8_05020006,development,humid_continental,regulated,T3_large,03079000,2005-06-02,2026-08-24
huc8_05020006,development,humid_continental,regulated,T3_large,03081000,2004-10-01,2026-08-24
huc8_05020006,development,humid_continental,regulated,T3_large,03083500,2005-06-02,2026-08-24
huc8_05090203,development,humid_continental,unregulated,T2_mid,03260100,2001-03-07,2014-09-29
huc8_05090203,development,humid_continental,unregulated,T2_mid,03262001,2000-12-02,2014-09-29
huc8_05090203,development,humid_continental,unregulated,T2_mid,03277075,2000-12-01,2015-09-30
huc8_05090203,development,humid_continental,unregulated,T2_mid,03277130,2000-12-02,2015-09-29
huc8_05130202,development,humid_continental,unmatched_gages,T1_small,03431083,2003-09-06,2026-08-24
huc8_05130202,development,humid_continental,unmatched_gages,T1_small,03431091,1996-10-25,2026-08-24
huc8_05130202,development,humid_continental,unmatched_gages,T1_small,03431514,1996-11-01,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03292470,2008-09-30,2025-11-19
huc8_05140101,development,humid_continental,unregulated,T3_large,03292474,2007-10-16,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03292475,2007-09-30,2025-12-08
huc8_05140101,development,humid_continental,unregulated,T3_large,03292480,2007-09-30,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03292500,1988-05-07,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03292550,2007-09-30,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03293000,1988-04-30,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03293500,2007-09-30,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03293530,2007-10-01,2026-08-24
huc8_05140101,development,humid_continental,unregulated,T3_large,03294570,2007-09-30,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05515500,2013-12-05,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05516665,2012-05-11,2026-08-25
huc8_07120001,development,humid_continental,regulated,T3_large,05517000,2012-05-11,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05517010,2016-12-01,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05517500,2016-04-09,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05518000,2015-12-05,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05527000,2012-09-21,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,05527500,1973-05-31,2026-08-24
huc8_07120001,development,humid_continental,regulated,T3_large,412320088154101,2012-09-07,2026-08-24
huc8_07120004,development,humid_continental,regulated,T2_mid,05536995,2017-03-29,2026-08-24
huc8_07120004,development,humid_continental,regulated,T2_mid,05537980,2017-11-17,2026-08-24
huc8_07120004,development,humid_continental,regulated,T2_mid,05538010,1975-09-17,2026-08-24
huc8_07120004,development,humid_continental,regulated,T2_mid,05539670,1973-03-29,2026-08-24
huc8_13060011,development,cold_arid_highland,unmatched_gages,T1_small,08405200,2012-10-01,2026-07-18
huc8_13060011,development,cold_arid_highland,unmatched_gages,T1_small,08406500,2003-09-30,2024-11-25
huc8_13060011,development,cold_arid_highland,unmatched_gages,T1_small,08407500,2011-06-17,2026-08-24
huc8_14040106,development,cold_arid_highland,regulated,T1_small,09217000,1989-10-01,2026-08-24
huc8_14040106,development,cold_arid_highland,regulated,T1_small,09234500,1986-12-12,2026-08-25
huc8_14040106,development,cold_arid_highland,regulated,T1_small,09261000,1998-09-25,2026-08-25
huc8_16050101,development,cold_semiarid,unregulated,T1_small,10336610,1997-09-18,2026-08-24
huc8_16050101,development,cold_semiarid,unregulated,T1_small,10336730,1998-04-08,2026-08-24
huc8_16050101,development,cold_semiarid,unregulated,T1_small,10336780,1997-09-17,2026-08-24
huc8_16050102,development,cold_semiarid,regulated,T2_mid,10348000,1989-08-26,1998-09-29
huc8_16050102,development,cold_semiarid,regulated,T2_mid,10348200,1980-02-05,2026-08-24
huc8_16050102,development,cold_semiarid,regulated,T2_mid,10350500,1978-06-15,2026-08-24
huc8_16050102,development,cold_semiarid,regulated,T2_mid,10351600,1988-06-17,2026-08-24
