cell,family,split,gap_length,node_type,donor_relation,n_donors,donor_direction,travel_time_role,marginal_phi,marginal_acf30,donor_r2,true_conditional_mae,true_recoverability,operator_recoverability,gap_length_only,acf_only,donor_r2_only,additive_d4,sigma_cond_00,sigma_cond_01,sigma_cond_10,sigma_cond_11
E,twin_e_f03,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6517616780513568,0.183137874737761,0.183137874737761,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.40160642570281146,0.0,0.0,1.0
E,twin_e_f03,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6089210423233895,0.23683064914720586,0.23683064914720586,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.5,0.0,0.0,0.6711409395973155
E,twin_e_f03,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6572150541473576,0.17630308138054473,0.17630308138054473,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.4191187804949209,0.0,0.0,1.0
E,twin_e_f03,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6165577119074068,0.22725950319554977,0.22725950319554977,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.5274377161638806,0.0,0.0,0.6711409395973155
E,twin_e_f03,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.660525003648037,0.17215467487754288,0.172154674877543,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.4299302288185982,0.0,0.0,1.0
E,twin_e_f03,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.6212539055548973,0.22137369730557865,0.22137369730557865,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.5446745312956918,0.0,0.0,0.6711409395973155
E,twin_e_f04,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.629271713382323,0.21132486540518713,0.21132486540518713,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.33333333333333326,0.0,0.0,1.0
E,twin_e_f04,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5641895835477564,0.2928932188134524,0.2928932188134524,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.5,0.0,0.0,0.5
E,twin_e_f04,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.6333726659674953,0.2061850835537301,0.2061850835537301,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.3453088205053141,0.0,0.0,1.0
E,twin_e_f04,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5718262531317737,0.2833220728617962,0.2833220728617962,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.5274377161638806,0.0,0.0,0.5
E,twin_e_f04,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.635839578268153,0.20309326749179846,0.20309326749179824,180.0,3.020649319540282e-09,0.5,0.5,0.3526144312347872,0.0,0.0,1.0
E,twin_e_f04,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5765224467792642,0.2774362669718251,0.2774362669718251,180.0,3.020649319540282e-09,0.5,0.5,0.5446745312956918,0.0,0.0,0.5
E,twin_e_f05,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6272824027980812,0.2138180964839287,0.2138180964839289,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.3276003276003274,0.0,0.0,1.0
E,twin_e_f05,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.5760435173763547,0.2780365159632676,0.2780365159632676,30.0,0.11336747050630029,0.32885906040268453,0.5548327933232311,0.3902439024390244,0.0,0.0,0.6711409395973155
E,twin_e_f05,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6336168453417035,0.20587905009199425,0.20587905009199425,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.3460285326991507,0.0,0.0,1.0
E,twin_e_f05,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.5843458674836629,0.2676310632008354,0.2676310632008354,90.0,0.11336747050630029,0.32885906040268453,0.3544771309047532,0.4166779354608008,0.0,0.0,0.6711409395973155
E,twin_e_f05,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.93,0.11336747050630029,0.32885906040268453,0.6375184525393064,0.20098911063298652,0.20098911063298652,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.35763004784020924,0.0,0.0,1.0
E,twin_e_f05,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.93,0.11336747050630029,0.32885906040268453,0.5895279819618052,0.2611362458641924,0.2611362458641924,180.0,0.11336747050630029,0.32885906040268453,0.3298369258516955,0.433616439089609,0.0,0.0,0.6711409395973155
E,twin_e_f06,design_debug,30,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.610307063998638,0.23509352858699128,0.23509352858699128,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.2807017543859649,0.0,0.0,1.0
E,twin_e_f06,design_debug,30,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5313120586007216,0.33409908562951407,0.33409908562951407,30.0,3.020649319540282e-09,0.5,0.500027480217064,0.3902439024390244,0.0,0.0,0.5
E,twin_e_f06,design_debug,90,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.6153011743995567,0.22883433941820552,0.22883433941820552,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.2941232619150439,0.0,0.0,1.0
E,twin_e_f06,design_debug,90,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5396144087080298,0.32369363286708197,0.32369363286708197,90.0,3.020649319540282e-09,0.5,0.500000000000083,0.4166779354608008,0.0,0.0,0.5
E,twin_e_f06,design_debug,180,dam_like_interior,redundant,1,downstream,boundary_redundant,0.52,3.020649319540282e-09,0.5,0.618347244289906,0.22501665696137974,0.22501665696137974,180.0,3.020649319540282e-09,0.5,0.5,0.3024633557947821,0.0,0.0,1.0
E,twin_e_f06,design_debug,180,ordinary_endpoint,complementary,1,upstream,boundary_complementary,0.52,3.020649319540282e-09,0.5,0.5447965231861721,0.3171988155304388,0.3171988155304388,180.0,3.020649319540282e-09,0.5,0.5,0.433616439089609,0.0,0.0,0.5
