geometry,network_id,n_primary_items,predicted_recoverability,observed_achieved_skill
artificial_stress,huc8_04020105,2478,0.3682930819926535,-0.7981904598884783
artificial_stress,huc8_04040003,2400,0.8887610259134265,-1.0801788344689458
artificial_stress,huc8_04060102,4188,0.3195927704435662,-0.6019090581494321
artificial_stress,huc8_04060103,3360,0.3267079790895105,-0.6554724518450404
artificial_stress,huc8_04070007,6714,0.20100994315625115,-0.5810646416606033
artificial_stress,huc8_04140101,1680,0.7691388046980783,-0.4852392217088776
artificial_stress,huc8_05010005,3360,0.5743574652909934,-0.28426604545302414
artificial_stress,huc8_05010006,3960,0.5210957527196799,-0.35191411844849724
artificial_stress,huc8_05010007,3360,0.5432596082622883,-0.44490137972348576
artificial_stress,huc8_05020001,2400,0.5436196384121136,-0.8679053864026943
artificial_stress,huc8_05020005,3240,0.462925914882245,-0.5768566019558884
artificial_stress,huc8_05020006,3840,0.48718570924203386,-0.28871425625815655
artificial_stress,huc8_05030102,4200,0.49949766667233475,-0.439591473949454
artificial_stress,huc8_05040001,9120,0.28875707514106563,0.13294015287942074
artificial_stress,huc8_05040005,2520,0.3673482211867127,0.009747619222877342
artificial_stress,huc8_05090203,2400,0.4030094526729403,-0.04950665052401712
artificial_stress,huc8_05110001,2400,0.9461886316745146,-0.3414656700022017
artificial_stress,huc8_05120201,2520,0.9677254780889876,-0.4900102196126598
artificial_stress,huc8_05130202,2520,0.4010296932009513,-0.3878058070299336
artificial_stress,huc8_05140101,6720,0.3963887338154584,-0.2857295007414245
artificial_stress,huc8_05140102,10920,0.39462933520713667,-0.17465661038142183
artificial_stress,huc8_07040006,3240,0.5877233381657203,-0.23210923678956244
artificial_stress,huc8_07070005,1440,0.903906276893023,0.07941830362264807
artificial_stress,huc8_07120001,7320,0.3153684727281287,-0.45306072985316637
artificial_stress,huc8_07120004,2520,0.6311384234325301,-0.5043689104453685
artificial_stress,huc8_10230006,2520,0.2929956884568739,-1.1131779294186912
artificial_stress,huc8_10300101,3840,0.5404408719114059,-0.44318551323686417
artificial_stress,huc8_11010014,2400,0.5532773733490026,-0.15771731528233546
artificial_stress,huc8_11020002,4200,0.38111978054771223,-0.5072072325879408
artificial_stress,huc8_11020003,2280,0.6794882576051471,-0.333023957738833
artificial_stress,huc8_11030012,2520,0.5991409558647895,-0.17590503071376487
artificial_stress,huc8_11130206,1512,0.4403469490214846,-0.4104582754711181
artificial_stress,huc8_15030108,2520,0.6091683915110471,-0.5004866426204008
artificial_stress,huc8_16020102,2514,0.4778107213661632,-0.3657109252079652
artificial_stress,huc8_16050102,2520,0.45218464902479644,-0.22122577009274622
natural_outage,huc8_01070004,102,0.618132628723853,0.2812500533047896
natural_outage,huc8_01090001,324,0.5694144519089084,0.10111345729866349
natural_outage,huc8_01090004,408,0.4308187107058101,0.31141256785903637
natural_outage,huc8_02020006,102,0.6553380198512763,0.21908364579009645
natural_outage,huc8_02040103,138,0.8311579368056567,-0.4056191837995573
natural_outage,huc8_02040106,600,0.5447619208786404,0.06669191987551377
natural_outage,huc8_02040203,54,0.6663515219119218,0.12530664030902422
natural_outage,huc8_02040205,1542,0.35295522134427293,0.17304247752893445
natural_outage,huc8_02050104,288,0.9653013123332097,0.1673509516904325
natural_outage,huc8_02050305,114,0.27972434071469504,0.5229617588639558
natural_outage,huc8_02060003,42,0.527238158476023,0.48087022037129074
natural_outage,huc8_02070002,60,0.8796755067581059,-0.06663152865550273
natural_outage,huc8_02070008,42,0.452267564116064,0.23182517469307465
natural_outage,huc8_02070010,138,0.4453346842470152,0.3028626845366955
natural_outage,huc8_02080201,720,0.6241105398040515,0.1545051539249235
natural_outage,huc8_03040206,276,0.2946970911701951,0.2119547040451712
natural_outage,huc8_03050106,216,0.8323718524457839,0.1651502399735803
natural_outage,huc8_03050109,270,0.5700025850274109,0.13424844191956511
natural_outage,huc8_03050208,324,0.2339995922860957,0.35438461094169466
natural_outage,huc8_03060106,228,0.9559932384327362,0.11457680990519352
natural_outage,huc8_03070101,42,0.3827463773373144,0.21125291225013526
natural_outage,huc8_03070103,234,0.2223899963722215,0.33306320692554947
natural_outage,huc8_03080103,504,0.34212709338021724,0.1782515329492952
natural_outage,huc8_03090101,570,0.4416580492049502,0.03696266047512556
natural_outage,huc8_03090204,168,0.323657738964411,0.1135367264017895
natural_outage,huc8_03100101,72,0.3075550797955531,0.3429644327216593
natural_outage,huc8_03100204,12,0.46526442868359824,0.4690540557501388
natural_outage,huc8_03100205,24,0.3599430262391237,0.49574271627883604
natural_outage,huc8_03100207,36,0.17349908796753527,0.2710879544778013
natural_outage,huc8_03150104,84,0.45974640717533016,-0.027307316812823664
natural_outage,huc8_03160111,246,0.3308282551420292,0.2272188498030867
natural_outage,huc8_04020105,90,0.3147558869735449,0.05214616833135631
natural_outage,huc8_04040003,120,0.8707544014079394,-0.22073193654197987
natural_outage,huc8_04060102,204,0.31744338461601435,0.268827860671887
natural_outage,huc8_04060103,144,0.3495593623441084,0.17748189321441527
natural_outage,huc8_04070007,180,0.19339281698852717,0.19237720700031685
natural_outage,huc8_04140101,66,0.5938512741882995,-0.06197789559679731
natural_outage,huc8_05010005,24,0.6082789718910719,-0.9140079745184885
natural_outage,huc8_05010006,138,0.48080262556932085,0.23340026879843903
natural_outage,huc8_05010007,126,0.5589566808249996,0.28392892796099234
natural_outage,huc8_05020001,42,0.5333498941285206,0.32759511034048266
natural_outage,huc8_05020005,54,0.4883158537885557,0.1314942496904615
natural_outage,huc8_05020006,120,0.3780541512140881,0.22055874456788432
natural_outage,huc8_05030102,138,0.48633055052600405,0.02179389000116807
natural_outage,huc8_05040001,102,0.2691043472708502,0.44536888967121063
natural_outage,huc8_05040005,72,0.3708552494675517,0.336202063771634
natural_outage,huc8_05090203,90,0.39860721957215267,0.22718135645754234
natural_outage,huc8_05110001,138,0.7210430575435967,0.30378273724411087
natural_outage,huc8_05120201,186,0.9360414963507124,0.12073211371603129
natural_outage,huc8_05130202,96,0.14649460623170396,0.42203882251185837
natural_outage,huc8_05140101,372,0.4229682181966927,0.1360662205043895
natural_outage,huc8_05140102,930,0.4068158012592296,0.09905419224204595
natural_outage,huc8_07040006,210,0.5181926062733699,0.2293660865259546
natural_outage,huc8_07070005,96,0.695015110616835,0.09808627842824127
natural_outage,huc8_07120001,240,0.3404120001795641,0.2845538026202536
natural_outage,huc8_07120004,66,0.8328517181180563,0.22125968880328675
natural_outage,huc8_10230006,96,0.2947244947255528,-0.3022926281571018
natural_outage,huc8_10300101,102,0.4862673099205723,0.2045948392339533
natural_outage,huc8_11010014,294,0.6950005982449793,0.050582005161629875
natural_outage,huc8_11020002,186,0.3658648664648972,0.09122174331544669
natural_outage,huc8_11020003,336,0.6208937789579414,0.20941710990120244
natural_outage,huc8_11030012,96,0.6796500977688706,0.3017028412576614
natural_outage,huc8_11130206,222,0.6540066395246968,-0.004827891519664885
natural_outage,huc8_13060011,108,0.408837167108989,0.18585620908431552
natural_outage,huc8_15030108,30,0.6578919733635854,0.20617096744939825
natural_outage,huc8_16020102,12,0.43979117977225535,0.500796169118674
natural_outage,huc8_16050102,432,0.4509100006062428,0.12854542536716065
