anchor_id,station_id,target,center_date,center_index,start_month,season,year,hydrologic_state,mask_seed,max_supported_length,data_version,evaluation_split,source_split
ANCHOR-publishedv1-developmenttest-P3-F-DJF-R0102,P3,F,2019-01-04,4751,7,DJF,2019,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-DJF-R0103,P3,F,2019-01-20,4767,7,DJF,2019,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-DJF-R0104,P3,F,2019-02-12,4790,8,DJF,2019,low_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-DJF-R0105,P3,F,2018-12-07,4723,6,DJF,2018,low_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-MAM-R0106,P3,F,2020-05-04,5237,11,MAM,2020,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-MAM-R0107,P3,F,2019-03-03,4809,9,MAM,2019,high_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-MAM-R0108,P3,F,2020-03-04,5176,9,MAM,2020,high_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-MAM-R0109,P3,F,2019-03-22,4828,9,MAM,2019,low_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-MAM-R0110,P3,F,2019-03-05,4811,9,MAM,2019,high_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-JJA-R0111,P3,F,2020-06-30,5294,12,JJA,2020,normal_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-JJA-R0112,P3,F,2018-07-16,4579,1,JJA,2018,high_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-JJA-R0113,P3,F,2019-07-24,4952,1,JJA,2019,normal_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-JJA-R0114,P3,F,2019-07-29,4957,1,JJA,2019,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-JJA-R0115,P3,F,2018-08-12,4606,2,JJA,2018,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-SON-R0116,P3,F,2019-10-12,5032,4,SON,2019,high_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-SON-R0117,P3,F,2018-10-30,4685,5,SON,2018,high_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-SON-R0118,P3,F,2018-09-29,4654,3,SON,2018,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-SON-R0119,P3,F,2018-11-18,4704,5,SON,2018,low_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-F-SON-R0120,P3,F,2018-09-13,4638,3,SON,2018,high_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-DJF-R0101,P3,L,2019-02-14,4792,8,DJF,2019,normal_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-DJF-R0102,P3,L,2020-02-06,5149,8,DJF,2020,low_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-DJF-R0103,P3,L,2019-02-18,4796,8,DJF,2019,normal_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-DJF-R0104,P3,L,2019-02-17,4795,8,DJF,2019,low_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-DJF-R0105,P3,L,2019-02-07,4785,8,DJF,2019,low_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-MAM-R0106,P3,L,2020-05-01,5234,11,MAM,2020,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-MAM-R0107,P3,L,2020-03-10,5182,9,MAM,2020,normal_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-MAM-R0108,P3,L,2020-03-12,5184,9,MAM,2020,low_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-MAM-R0109,P3,L,2020-05-02,5235,11,MAM,2020,normal_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-MAM-R0110,P3,L,2020-03-17,5189,9,MAM,2020,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-JJA-R0111,P3,L,2019-07-02,4930,1,JJA,2019,normal_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-JJA-R0112,P3,L,2020-06-14,5278,12,JJA,2020,normal_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-JJA-R0113,P3,L,2019-06-26,4924,12,JJA,2019,normal_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-JJA-R0114,P3,L,2019-08-14,4973,2,JJA,2019,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-JJA-R0115,P3,L,2020-06-29,5293,12,JJA,2020,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-SON-R0116,P3,L,2019-11-28,5079,5,SON,2019,low_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-SON-R0117,P3,L,2019-11-17,5068,5,SON,2019,low_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-SON-R0118,P3,L,2018-09-04,4629,3,SON,2018,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-SON-R0119,P3,L,2019-10-21,5041,4,SON,2019,normal_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-P3-L-SON-R0120,P3,L,2018-11-08,4694,5,SON,2018,high_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-DJF-R0101,S2,T,2020-01-31,5143,8,DJF,2020,normal_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-DJF-R0102,S2,T,2018-12-07,4723,6,DJF,2018,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-DJF-R0103,S2,T,2019-01-19,4766,7,DJF,2019,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-DJF-R0104,S2,T,2019-12-10,5091,6,DJF,2019,high_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-DJF-R0105,S2,T,2019-02-04,4782,8,DJF,2019,high_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-MAM-R0106,S2,T,2019-03-15,4821,9,MAM,2019,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-MAM-R0107,S2,T,2019-04-07,4844,10,MAM,2019,normal_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-MAM-R0108,S2,T,2019-03-02,4808,9,MAM,2019,normal_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-MAM-R0109,S2,T,2020-04-10,5213,10,MAM,2020,normal_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-MAM-R0110,S2,T,2019-04-18,4855,10,MAM,2019,high_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-JJA-R0111,S2,T,2019-06-10,4908,12,JJA,2019,low_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-JJA-R0112,S2,T,2020-07-01,5295,1,JJA,2020,normal_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-JJA-R0113,S2,T,2019-06-03,4901,12,JJA,2019,low_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-JJA-R0114,S2,T,2019-06-08,4906,12,JJA,2019,low_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-JJA-R0115,S2,T,2020-06-05,5269,12,JJA,2020,low_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-SON-R0116,S2,T,2018-09-30,4655,4,SON,2018,high_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-SON-R0117,S2,T,2019-10-22,5042,4,SON,2019,normal_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-SON-R0118,S2,T,2018-10-20,4675,4,SON,2018,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-SON-R0119,S2,T,2018-10-02,4657,4,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-T-SON-R0120,S2,T,2018-10-21,4676,4,SON,2018,high_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-DJF-R0101,S2,F,2019-12-21,5102,6,DJF,2019,high_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-DJF-R0102,S2,F,2020-02-04,5147,8,DJF,2020,normal_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-DJF-R0103,S2,F,2019-02-14,4792,8,DJF,2019,normal_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-DJF-R0104,S2,F,2019-01-31,4778,8,DJF,2019,high_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-DJF-R0105,S2,F,2019-01-22,4769,7,DJF,2019,high_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-MAM-R0106,S2,F,2020-05-06,5239,11,MAM,2020,high_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-MAM-R0107,S2,F,2020-03-16,5188,9,MAM,2020,low_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-MAM-R0108,S2,F,2020-03-02,5174,9,MAM,2020,low_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-MAM-R0109,S2,F,2020-05-02,5235,11,MAM,2020,high_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-MAM-R0110,S2,F,2019-03-06,4812,9,MAM,2019,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-JJA-R0111,S2,F,2019-06-14,4912,12,JJA,2019,low_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-JJA-R0112,S2,F,2018-08-23,4617,2,JJA,2018,high_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-JJA-R0113,S2,F,2019-07-13,4941,1,JJA,2019,high_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-JJA-R0114,S2,F,2019-06-26,4924,12,JJA,2019,normal_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-JJA-R0115,S2,F,2019-07-08,4936,1,JJA,2019,high_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-SON-R0116,S2,F,2018-10-23,4678,4,SON,2018,normal_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-SON-R0117,S2,F,2019-10-08,5028,4,SON,2019,high_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-SON-R0118,S2,F,2019-09-26,5016,3,SON,2019,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-SON-R0119,S2,F,2018-10-11,4666,4,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-F-SON-R0120,S2,F,2019-10-14,5034,4,SON,2019,normal_flow,120,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-DJF-R0101,S2,L,2019-02-26,4804,8,DJF,2019,normal_flow,101,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-DJF-R0102,S2,L,2019-01-26,4773,7,DJF,2019,high_flow,102,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-DJF-R0103,S2,L,2018-12-06,4722,6,DJF,2018,high_flow,103,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-DJF-R0104,S2,L,2020-02-05,5148,8,DJF,2020,normal_flow,104,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-DJF-R0105,S2,L,2019-02-18,4796,8,DJF,2019,normal_flow,105,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-MAM-R0106,S2,L,2019-03-05,4811,9,MAM,2019,normal_flow,106,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-MAM-R0107,S2,L,2019-04-11,4848,10,MAM,2019,normal_flow,107,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-MAM-R0108,S2,L,2019-03-11,4817,9,MAM,2019,low_flow,108,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-MAM-R0109,S2,L,2019-05-23,4890,11,MAM,2019,high_flow,109,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-MAM-R0110,S2,L,2019-03-30,4836,9,MAM,2019,normal_flow,110,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-JJA-R0111,S2,L,2018-08-13,4607,2,JJA,2018,high_flow,111,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-JJA-R0112,S2,L,2018-07-13,4576,1,JJA,2018,high_flow,112,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-JJA-R0113,S2,L,2018-07-03,4566,1,JJA,2018,normal_flow,113,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-JJA-R0114,S2,L,2019-07-09,4937,1,JJA,2019,high_flow,114,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-JJA-R0115,S2,L,2019-06-04,4902,12,JJA,2019,low_flow,115,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-SON-R0116,S2,L,2019-11-27,5078,5,SON,2019,low_flow,116,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-SON-R0117,S2,L,2018-09-26,4651,3,SON,2018,high_flow,117,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-SON-R0118,S2,L,2018-10-02,4657,4,SON,2018,high_flow,118,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-SON-R0119,S2,L,2018-09-07,4632,3,SON,2018,high_flow,119,365,published_v1,development_test,test
ANCHOR-publishedv1-developmenttest-S2-L-SON-R0120,S2,L,2019-09-29,5019,3,SON,2019,high_flow,120,365,published_v1,development_test,test
